代	substitute; change; convert; replace	だい・たい	か.わる・かわ.る・かわ.り・か.わり・-がわ.り・-が.わり・か.える・よ・しろ	N4	3	5
写	copy; be photographed; describe	しゃ・じゃ	うつ.す・うつ.る・うつ-・うつ.し	N4	3	5
去	gone; past; quit; leave	きょ・こ	さ.る・-さ.る	N4	3	5
号	nickname; number; item; title	ごう	さけ.ぶ・よびな	N3	3	5
央	center; middle	おう		N2	3	5
平	even; flat; peace	へい・びょう・ひょう	たい.ら・-だいら・ひら・ひら-	N3	3	5
打	strike; hit; knock; pound	だ・だあす	う.つ・う.ち-・ぶ.つ	N3	3	5
氷	icicle; ice; hail; freeze	ひょう	こおり・ひ・こお.る	N2	3	5
由	wherefore; a reason	ゆ・ゆう・ゆい	よし・よ.る	N3	3	5
申	have the honor to; sign of the monkey; 3-5pm; ninth sign of chinese zodiac	しん	もう.す・もう.し-・さる	N3	3	5
皮	pelt; skin; hide; leather	ひ	かわ	N2	3	5
皿	dish; a helping; plate	べい	さら	N2	3	5
礼	salute; bow; ceremony; thanks	れい・らい		N3	3	5
両	both; old japanese coin; counter for carriages (e.g., in a train); two	りょう	てる・ふたつ	N3	3	6
全	whole; entire; all; complete	ぜん	まった.く・すべ.て	N3	3	6
列	file; row; rank; tier	れつ・れ		N3	3	6
向	yonder; facing; beyond; confront	こう	む.く・む.い・-む.き・む.ける・-む.け・む.かう・む.かい・む.こう・む.こう-・むこ・むか.い	N3	3	6
守	guard; protect; defend; obey	しゅ・す	まも.る・まも.り・もり・-もり・かみ	N3	3	6
安	relax; cheap; low; quiet	あん	やす.い・やす.まる・やす・やす.らか	N4	3	6
州	state; province	しゅう・す	す	N2	3	6
式	style; ceremony; rite; function	しき		N3	3	6
曲	bend; music; melody; composition	きょく	ま.がる・ま.げる・くま	N3	3	6
有	possess; have; exist; happen	ゆう・う	あ.る	N4	3	6
次	next; order; sequence	じ・し	つ.ぐ・つぎ	N3	3	6
死	death; die	し	し.ぬ・し.に-	N4	3	6
羊	sheep	よう	ひつじ	N1	3	6
血	blood	けつ	ち	N2	3	6
住	dwell; reside; live; inhabit	じゅう・ぢゅう・ちゅう	す.む・す.まう・-ず.まい	N4	3	7
助	help; rescue; assist	じょ	たす.ける・たす.かる・す.ける・すけ	N3	3	7
